id,image_ids,species,location,date,latitude,longitude,ind_conf
56,68;67,Trametes versicolor,"USA, California",2002-01-08,37.01736,-122.09616,92%
340,413;412,Grifola frondosa,"USA, California",2003-02-02,34.182,-118.32516,86%
355,430,Ganoderma applanatum,"USA, California",2002-01-12,36.97578,-122.04756,86%
356,431;432,Ganoderma applanatum,"USA, California",2002-01-09,37.01736,-122.09616,86%
399,493,Coprinus comatus,"USA, California",2004-03-05,34.15752,-118.28556,91%
400,494,Coprinus comatus,"USA, California",2002-10-27,34.15752,-118.28556,91%
401,495,Coprinus comatus,"USA, California",1996-10-15,39.06576,-120.12588,91%
462,575,Boletus edulis,"USA, California",2003-12-05,39.36456,-123.62688,86%
514,651,Amanita muscaria,"USA, California",2003-12-06,39.36456,-123.62688,97%
515,652;653;654;655,Amanita muscaria,"USA, California",2003-12-05,39.36456,-123.62688,86%
516,656,Amanita muscaria,"USA, California",1994-12-15,39.37842,-123.79896,92%
567,721,Ganoderma applanatum,"USA, California",2006-06-19,40.10688,-123.903,86%
666,787,Ganoderma applanatum,"USA, California",2006-09-15,38.08476,-122.86764,83%
704,836;837,Ganoderma oregonense,"USA, California",2006-09-23,38.57526,-123.31296,86%
711,844,Trametes versicolor,"USA, California",2006-09-23,38.57526,-123.31296,86%
762,913;914,Amanita muscaria,"USA, California",2004-11-12,38.3985,-122.82732,90%
818,963,Ganoderma applanatum,"USA, California",2006-10-14,38.08476,-122.86764,83%
833,990,Coprinus comatus,"USA, California",2006-10-16,37.47636,-122.15484,91%
894,1058,Ganoderma applanatum,"USA, California",2006-11-04,38.08476,-122.86764,83%
906,1073,Trametes versicolor,"USA, California",2006-11-04,38.08476,-122.86764,86%
912,1084;1085,Coprinus comatus,"USA, California",2006-11-09,38.25198,-122.625,91%
944,1103;1104;4636;4825;5292;5522;5523;6093;6233,Ganoderma applanatum,"USA, California",2006-11-12,38.45394,-122.66712,83%
1031,1245;1246,Ganoderma applanatum,"USA, California",2006-11-22,38.08476,-122.86764,83%
1149,1432;1433,Coprinus comatus,"USA, California",2006-11-22,37.47636,-122.15484,90%
1386,1524;1526;1530,Amanita muscaria,"USA, California",2006-12-10,38.3985,-122.82732,57%
1745,2006;2007,Pluteus cervinus,"USA, California",2006-12-28,38.08476,-122.86764,86%
1753,2011,Trametes versicolor,"USA, California",2006-12-28,38.08476,-122.86764,86%
1759,2042,Trametes versicolor,"USA, California",2006-12-29,38.3985,-122.82732,86%
1789,2108;2109,Boletus edulis,"USA, California",2006-12-30,38.57526,-123.31296,86%
1819,2145,Trametes versicolor,"USA, California",2006-12-30,38.57526,-123.31296,86%
2080,2611;2612,Amanita muscaria,"USA, California",2007-01-20,38.08476,-122.86764,94%
2118,2673,Trametes versicolor,"USA, California",2007-01-14,38.39436,-122.94036,84%
2120,2676,Ganoderma applanatum,"USA, California",2007-01-27,38.09358,-122.55264,83%
2270,2796,Trametes versicolor,"USA, California",2007-01-27,39.22812,-123.75792,84%
2367,2963;2964;2965,Coprinus comatus,"USA, California",2007-02-07,34.16292,-118.25352,86%
2451,3103;3104,Trametes versicolor,"USA, California",2007-02-15,38.3985,-122.82732,86%
2479,3159;3160,Pluteus cervinus,"USA, California",2007-02-17,38.57526,-123.31296,86%
2529,3254,Ganoderma applanatum,"USA, California",2007-02-19,38.08476,-122.86764,83%
2530,3255;3256,Trametes versicolor,"USA, California",2007-02-19,38.08476,-122.86764,86%
2724,3618,Trametes versicolor,"USA, California",2007-03-03,38.08476,-122.86764,86%
2740,3636;3637,Trametes versicolor,"USA, California",2007-03-03,38.08476,-122.86764,86%
2741,3638;3639,Ganoderma applanatum,"USA, California",2007-03-03,38.08476,-122.86764,83%
